"Hash","FilePath"
"9DF5D0EBDBCAF08E3F376AE993ACA8AEDEF266228D8F1DD41D6F79F294840B2F","C:\Windows\System32\drivers\1394ohci.sys"
"537C7BF0DCC56757DDB97D709FA65C1B3CBF9619563DF9A13FA8287B71D9E8B5","C:\Windows\System32\drivers\3ware.sys"
"67D6B8D7B0FD4E356BCFA060E0862F9FCA51AD541488C62891D55D97BBD9A5CC","C:\Windows\System32\drivers\acpi.sys"
"2E864138CA90CE6F78D44142D0F99E1015656197534B0D2743F34C247F3A0796","C:\Windows\System32\drivers\AcpiDev.sys"
"744FBBFBF3DEC5996C42C7B7AF93B8114F16C27ADA055CC43A9D4100A1883535","C:\Windows\System32\drivers\acpiex.sys"
"193EB944858C86C60D3CE1D834B003C0A3092BEB20B27E7398199BC46C02DD5B","C:\Windows\System32\drivers\acpitime.sys"
"F589BB88137DED8BFEA1F2F741B51EF7F0BD27A4BE51A48978B91D0C29E936FE","C:\Windows\System32\drivers\AcpiVpc.sys"
"D5346D5D13FBAC607FA70E8114AE66ED62A7B1EA3C1BD77FA161D17FBFEEA9E7","C:\Windows\System32\drivers\Acx01000.sys"
"9F3061731FC80C4E2D41BD379573ED12DAF396D84BAD1A5C89ED32B10FEBE929","C:\Windows\System32\drivers\adp80xx.sys"
"D087CC6D40354CBCFBE8F80E0AA42DA3D30DCFA7BD3F814F74E0FE4E8AA703CE","C:\Windows\System32\drivers\afd.sys"
"B302EA890E2121EEFA48ADDD19F5FD1DA922A65E89915B6D83AC6EE5C9FDA576","C:\Windows\System32\drivers\afunix.sys"
"F5A9ADB41D5D216A0DB4099D25797CAB412734627E18BFB48EA89B76148709D9","C:\Windows\System32\drivers\agilevpn.sys"
"C9CEB33E54859575281D06F38FB42560695B160E1DCF9DCE03ED202062F8A19E","C:\Windows\System32\drivers\ahcache.sys"
"46A53925BAA34FA9D87E7C3157504A4557D81CD8B8608E7AB6CAF02F482F7792","C:\Windows\System32\drivers\amdgpio2.sys"
"387811D57DEF06C9736D9F0BAB0DFB0F83DBAB19E5489BF9A6DCDCBD682DD8FE","C:\Windows\System32\drivers\amdi2c.sys"
"4A5075A29F343CB3EFFBE5CD740119E5736AB945277E2972D7F39063F125F0AD","C:\Windows\System32\drivers\amdk8.sys"
"783A54BA03809AD12F9587758EB151EE551B6A069C945CC450BF50870CD864B4","C:\Windows\System32\drivers\amdppm.sys"
"25433299F63EB920A6A74B0C1D40A95C7D9BC647FF5CD71D4F1730283B660E86","C:\Windows\System32\drivers\amdsata.sys"
"AFA0A9EACCC36CFC88AC41DCD0149AC6F9763D12C898397E831D80F202EF4402","C:\Windows\System32\drivers\amdsbs.sys"
"E84CCD1521E0F1DB5B0A6E67A50DC53B430D79112C973CC354ACD616F0824343","C:\Windows\System32\drivers\amdwps.sys"
"EB4C463A91FC778B335C3A9F4A74539CE0378F59974B2B46D5350C6C8AFDDB69","C:\Windows\System32\drivers\amdxata.sys"
"52D092D6C053ED6D80E3DD1E5AA7E35C40EC1AC6039D15FEDAA64CC2A42B6BF9","C:\Windows\System32\drivers\AmUStorU.sys"
"8EDBE4D803D5AD514061661C84D770D34F0E8770847D543BC5CC57163F55474C","C:\Windows\System32\drivers\appid.sys"
"8097BBA0AB20B5ECCBD02DEF237A0B36E845EE8F50C684D72148A89BDBA34A7A","C:\Windows\System32\drivers\AppleSSD.sys"
"CC0A179BA952CFA4AB7551C88110E9B2FE525A977EF4D3B902FDFFE1323698DA","C:\Windows\System32\drivers\applockerfltr.sys"
"9987D0687F24E842F0987193826749441C693D674F423358D44A1BA2473E515F","C:\Windows\System32\drivers\arcsas.sys"
"6135CBEA049E8A2654D4E1D14B7BE1AFE461DF62E3F55190B2B3C05D777858DA","C:\Windows\System32\drivers\asyncmac.sys"
"3481E2D174FE85699BCBDE28FE2E45A2E33889D03B9AB1BB556CE9A325DB63B8","C:\Windows\System32\drivers\atapi.sys"
"B3437407A2381935B4F3FAC1152F7B85302D21B268C10058649199A7E1D3D51E","C:\Windows\System32\drivers\ataport.sys"
"DCF689B7898E3982C73A220D1AA4B47F68933E733D6D99F368A96188A5E314C3","C:\Windows\System32\drivers\bam.sys"
"0D88959E49E69F90013922F036701472BCA974AED9B1DDCFF2ADFF35F3A670D2","C:\Windows\System32\drivers\battc.sys"
"9AD12E18A042C5B8EFB19297BC2E7BD1FEF75A138FEFB64C6BF0261FD3E53AB1","C:\Windows\System32\drivers\bcmfn2.sys"
"98CDBD998CF136FBBB9ECCE829717B917374D0AF20780BFD02767303C2756D85","C:\Windows\System32\drivers\beep.sys"
"6B8DF8F852ADB8D416C01FFF25D622345D31585C3B09C0F2DF4EB1DA528C1EB4","C:\Windows\System32\drivers\bfs.sys"
"5D9AF32118EBC58406DAE2EC770E1A24F67CC916279D7491FB41675AE67BF83B","C:\Windows\System32\drivers\bindflt.sys"
"9971B2C6C24F4D920998651C028FE5C2155CAAC176DFD0349D5B908B74AF9360","C:\Windows\System32\drivers\bowser.sys"
"3532FD5F1485564543B8DE58A6164343FED87BD4C5BDDD569CDF056AFC708F54","C:\Windows\System32\drivers\bridge.sys"
"4932597957D4A110C59FC0042DE75CCEF6A002604B495C979C36B3CBDE4B0D45","C:\Windows\System32\drivers\BtaMPM.sys"
"1368F163E0FF11D904217EBC07A50F0790BEAEB9D4DD1FAE30395F398759F0F0","C:\Windows\System32\drivers\BthA2dp.sys"
"9F4CA1786F30AFF67A9A527E2A43D9E36FA264DC7492D36DE41D1620D9CD8C8F","C:\Windows\System32\drivers\bthenum.sys"
"EADE7C5303823224D2E28BFF4ECD51FE29AF5BE6DE3C99ED6F448F451E4E6798","C:\Windows\System32\drivers\BthHfEnum.sys"
"F61E5C2076769A7415108E6B17F78DAD521E0060014409BC0DA428F51C876532","C:\Windows\System32\drivers\BthMini.SYS"
"896899D1819E08ED1A54222CE6590ED621FE1D7472F3ADF5630335883F317F98","C:\Windows\System32\drivers\bthmodem.sys"
"7D639291EA0C28C740D92BEFE82161B0C9F510788A9FFAC82F6A44922BEA275F","C:\Windows\System32\drivers\bthpan.sys"
"0C71FBF4B3469B3F61ACDD9E4B922A7D969FA618AAE82C43BBB71E348E93A797","C:\Windows\System32\drivers\bthport.sys"
"1049849A84260DBD3E8B3B0BDFD912DBEE1B6DF965512688CB10D142AA9A5F4F","C:\Windows\System32\drivers\BTHUSB.SYS"
"0F65089C4A1B84B51D46CB758FE06AD3651EEECC72ED4A82DAD15BC419F60AD5","C:\Windows\System32\drivers\bttflt.sys"
"C34EADE7FFDAC60FF64AC968647B6DB956AFB9BE47D1FB811D825AFED2D63971","C:\Windows\System32\drivers\buttonconverter.sys"
"8FCA12E3ABA77F5A64A54431969EDC8B32E1A8F3F6FC06282120FE003B2BE1B9","C:\Windows\System32\drivers\bxvbda.sys"
"BBB9996C41C7820AB0305F807E8B109D6A02F03DE43C8798DE2F47F9CF68DB43","C:\Windows\System32\drivers\CAD.sys"
"C6EE866166E1019C5D9560E2C34AA4203D0C40FCB8EAC50C5A31223C08A0C334","C:\Windows\System32\drivers\cdfs.sys"
"297578FE9855F4114A839FD9DEE664E4EB4350D44EE171259DC529ADC8E423DB","C:\Windows\System32\drivers\cdrom.sys"
"74BFA6A76386A482F1B9C083361EE2DADADFB40A4939B021B9BC1BF7F05EEF79","C:\Windows\System32\drivers\CEA.sys"
"2014B87479A23B3390167FD78BE35CFAE75645A7C5AC0FE16CBA2A60AAC48E09","C:\Windows\System32\drivers\cht4dx64.sys"
"FFAA9ABF91808E2569206A5A5D5D3542B02860965D8F1EA5790307648CD1E4D3","C:\Windows\System32\drivers\cht4sx64.sys"
"289F18D3FA652D1B60C8799EA38ED3CAF04416AA62817A9A49028141BA1ADFB9","C:\Windows\System32\drivers\cht4vfx.sys"
"9EC811C11EBF399A5C4FDDD07A9E63975F2145151306C8599F64DC35A0966EB0","C:\Windows\System32\drivers\cht4vx64.sys"
"66A5B4545A0122B64DB2DF3A4BDAD925226C3D3CC00B119004F2F0FC1E72A753","C:\Windows\System32\drivers\cimfs.sys"
"443F128CDD3D22C9A9F6201C432CFC6D4888C7F589B0EB32F022B71E8271DB9C","C:\Windows\System32\drivers\circlass.sys"
"5B5D881954EE6AB3BF6A9A0B1D2A46F8802F63A1936653E5DD6BADD671671488","C:\Windows\System32\drivers\Classpnp.sys"
"73A1D25C31776F6853F490DC418E8570826D18DFC7CCCCF438D455F48B926DDA","C:\Windows\System32\drivers\cldflt.sys"
"1854D439CA50DB95726B80CE0A16689B381582036219245D39205EAB34CFC72E","C:\Windows\System32\drivers\clfs.sys"
"CADC6D1AB59B470931880DD55B53CE85C2B8EF191A4D17F4204F438141136E3D","C:\Windows\System32\drivers\ClipSp.sys"
"F99C2A4782404765825ED30F8566582C369F5C12AF3B99C5FE70FB5EFA727D4C","C:\Windows\System32\drivers\CmBatt.sys"
"0C3A6EF13267001030B36D597ECAE4B324DDB12395C93EE09F678B2F290D3D89","C:\Windows\System32\drivers\cmimcext.sys"
"0EA48EBD4A6BDDE7B550898603C0E868F2612FB8772CD687B5D27767A1A88857","C:\Windows\System32\drivers\cng.sys"
"8D79879E02F6DC19F04743D78004E228D3EBF64A5CC3A57D0E0B624091BE5765","C:\Windows\System32\drivers\cnghwassist.sys"
"3B424955065267757DD33A3B04836D7853A5345E67E8D11CEEDF6CCD064095B9","C:\Windows\System32\drivers\condrv.sys"
"94E6874FA1FF64C5995DCFBE183516B0A9CA6F50D6E1E9B8018D40CC235CBEA2","C:\Windows\System32\drivers\crashdmp.sys"
"B52EC1F24838D975F968CB4008B5EC4B94460A462D2D08FFC0FEFDA7FA66577F","C:\Windows\System32\drivers\dam.sys"
"E0BF554D9D9456279633C97FEAC7CE993D2065FA107A215A7CC10BE36118A6E8","C:\Windows\System32\drivers\devauthe.sys"
"0C097C4D23A6B1A4D9FDB44E0B4E6458843E527C413122910A2124BAEE90673F","C:\Windows\System32\drivers\dfsc.sys"
"EB51C5BB2F1EDD09D78CB7B0C1C3200105A830A868C42D193DD3BBD766EC8F4F","C:\Windows\System32\drivers\disk.sys"
"A9500458D7826CEE5D76C576AC391D4029D8A27B7F0713472428439CE077F87F","C:\Windows\System32\drivers\Diskdump.sys"
"8010033E977BEED674903D051A8703525A2462F0364B909E17FA3A952CF0208C","C:\Windows\System32\drivers\Dmpusbstor.sys"
"CDE68CFCFB9930FBC2493000FBD3E4FE20D3F495F1B414E184985C5659730024","C:\Windows\System32\drivers\dmvsc.sys"
"63A9DFA55759CFA7FD73EBB289F3A4AB4277A5BF89040C645DC67887235E5C9F","C:\Windows\System32\drivers\drmk.sys"
"E609961C088A35C7EB62F324FAF16CEB318076CD33A718C8DA37A4B04695B063","C:\Windows\System32\drivers\drmkaud.sys"
"28DBA96C5795C62FBB2C86363B14105F7A2C0DF0A9E3FA768E1926AED10D3751","C:\Windows\System32\drivers\Dumpata.sys"
"04D2B45E919FF118F313E65FB242AC595E553AFE4D873FCF168AF7D665DDC450","C:\Windows\System32\drivers\dumpfve.sys"
"56B7FEE2C7F0D5419F28FDA0FDA0D9906706CACE4AD48455240B5567EEC4FAB3","C:\Windows\System32\drivers\dumpsd.sys"
"0C2D0719E73DA2C5DB256DBF8ED42647C7BBA14AB7C135671DBF222BAE3FFD04","C:\Windows\System32\drivers\dumpsdport.sys"
"37FFE368D9353D002105A2A35A5A0141C20FE517558D5979E0425EB042661689","C:\Windows\System32\drivers\Dumpstorport.sys"
"7C0C9E8790072AE02E836A3B7F19CA3C9932A930F3B0BEF094F23D32D02A61BB","C:\Windows\System32\drivers\dxgkrnl.sys"
"255CED3CD12A6BFCA5513198241D330E058D3838C33C0D5C5082192431334709","C:\Windows\System32\drivers\dxgmms1.sys"
"CC0C3655BBABBD10B6177E3547A8634E80BC277928305504F9FDBC508874B040","C:\Windows\System32\drivers\dxgmms2.sys"
"44928F80A97B219BC9DB35B66FE424645AC74D8E2DCD32DC52AEBDCE4F87BD8D","C:\Windows\System32\drivers\EhStorClass.sys"
"811183EEB9D6EACDBC5B9729957289501E3842DB11586DA5694EAC61DCC29C78","C:\Windows\System32\drivers\EhStorTcgDrv.sys"
"42E3FA480F869C3E1D6BF2E78CB7665F19D5F399A8D359FFFA4B71805DAFEB9A","C:\Windows\System32\drivers\errdev.sys"
"53AF6CD54EAE4D4952BC1FA57225A6A376D27E61E7EEFD00ACAF6C1D9346BE0E","C:\Windows\System32\drivers\evbd0a.sys"
"60FE372E60F532099A242EF73C24C142CEB66CE7B1F7CA48B826A02D9DD513C9","C:\Windows\System32\drivers\evbda.sys"
"777754F6E3F41CFA474F837519503B659A3FCD8C0E9418B6BB6AA8526A2DF244","C:\Windows\System32\drivers\ExecutionContext.sys"
